After 6600 steps, rate is 0.00010.  cost is 2.84714, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 6700 steps, rate is 0.00010.  cost is 2.85987, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 6800 steps, rate is 0.00010.  cost is 2.15058, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 6900 steps, rate is 0.00010.  cost is 3.16233, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 7000 steps, rate is 0.00010.  cost is 3.45237, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 7100 steps, rate is 0.00010.  cost is 3.07647, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 7200 steps, rate is 0.00010.  cost is 2.78150, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 7300 steps, rate is 0.00010.  cost is 3.46614, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 7400 steps, rate is 0.00010.  cost is 2.91150, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 7500 steps, rate is 0.00010.  cost is 3.23896, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 7600 steps, rate is 0.00010.  cost is 3.04472, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 7700 steps, rate is 0.00010.  cost is 3.29100, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 7800 steps, rate is 0.00010.  cost is 2.95056, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 7900 steps, rate is 0.00010.  cost is 3.25151, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 8000 steps, rate is 0.00010.  cost is 2.81964, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 8100 steps, rate is 0.00010.  cost is 3.23533, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 8200 steps, rate is 0.00010.  cost is 2.75862, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 8300 steps, rate is 0.00010.  cost is 2.70910, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 8400 steps, rate is 0.00010.  cost is 2.69840, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 8500 steps, rate is 0.00010.  cost is 2.96570, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 8600 steps, rate is 0.00010.  cost is 2.55285, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 8700 steps, rate is 0.00010.  cost is 3.19067, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 8800 steps, rate is 0.00010.  cost is 3.11291, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 8900 steps, rate is 0.00010.  cost is 3.22130, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 9000 steps, rate is 0.00010.  cost is 3.17054, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 9100 steps, rate is 0.00010.  cost is 2.90999, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 9200 steps, rate is 0.00010.  cost is 2.98264, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 9300 steps, rate is 0.00010.  cost is 2.95505, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 9400 steps, rate is 0.00010.  cost is 2.92019, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 9500 steps, rate is 0.00010.  cost is 2.54590, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 9600 steps, rate is 0.00010.  cost is 3.41774, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 9700 steps, rate is 0.00010.  cost is 2.49814, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 9800 steps, rate is 0.00010.  cost is 3.40020, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 9900 steps, rate is 0.00010.  cost is 2.36108, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 10000 steps, rate is 0.00010.  cost is 2.46067, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 10100 steps, rate is 0.00010.  cost is 2.71182, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 10200 steps, rate is 0.00010.  cost is 3.05499, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 10300 steps, rate is 0.00010.  cost is 2.82138, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 10400 steps, rate is 0.00010.  cost is 2.74831, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 10500 steps, rate is 0.00010.  cost is 3.00337, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 10600 steps, rate is 0.00010.  cost is 2.48251, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
