After 6700 steps, rate is 0.00010.  cost is 2.85126, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 6800 steps, rate is 0.00010.  cost is 3.62901, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 6900 steps, rate is 0.00010.  cost is 3.05567, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 7000 steps, rate is 0.00010.  cost is 3.34141, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 7100 steps, rate is 0.00010.  cost is 3.20530, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 7200 steps, rate is 0.00010.  cost is 3.25210, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 7300 steps, rate is 0.00010.  cost is 3.22174, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 7400 steps, rate is 0.00010.  cost is 3.55859, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 7500 steps, rate is 0.00010.  cost is 2.64550, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 7600 steps, rate is 0.00010.  cost is 3.21888, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 7700 steps, rate is 0.00010.  cost is 2.89691, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 7800 steps, rate is 0.00010.  cost is 3.26909, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 7900 steps, rate is 0.00010.  cost is 2.68005, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 8000 steps, rate is 0.00010.  cost is 3.62987, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 8100 steps, rate is 0.00010.  cost is 3.22721, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 8200 steps, rate is 0.00010.  cost is 3.26353, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 8300 steps, rate is 0.00010.  cost is 2.80089, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 8400 steps, rate is 0.00010.  cost is 3.22569, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 8500 steps, rate is 0.00010.  cost is 3.00946, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 8600 steps, rate is 0.00010.  cost is 3.05178, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 8700 steps, rate is 0.00010.  cost is 2.93161, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 8800 steps, rate is 0.00010.  cost is 2.74956, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 8900 steps, rate is 0.00010.  cost is 3.02917, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 9000 steps, rate is 0.00010.  cost is 2.86833, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 9100 steps, rate is 0.00010.  cost is 2.51427, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 9200 steps, rate is 0.00010.  cost is 2.69782, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
