After 8600 steps, rate is 0.00010.  cost is 3.04515, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 8700 steps, rate is 0.00010.  cost is 3.46300, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 8800 steps, rate is 0.00010.  cost is 3.05796, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 8900 steps, rate is 0.00010.  cost is 3.09679, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 9000 steps, rate is 0.00010.  cost is 2.94077, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 9100 steps, rate is 0.00010.  cost is 3.05206, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 9200 steps, rate is 0.00010.  cost is 3.01450, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 9300 steps, rate is 0.00010.  cost is 3.13435, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 9400 steps, rate is 0.00010.  cost is 3.48426, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 9500 steps, rate is 0.00010.  cost is 3.09121, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 9600 steps, rate is 0.00010.  cost is 3.20126, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 9700 steps, rate is 0.00010.  cost is 3.43647, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 9800 steps, rate is 0.00010.  cost is 2.62665, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 9900 steps, rate is 0.00010.  cost is 3.28797, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
